19:46:56 : INFO : adding document #1660000 to Dictionary(5327208 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:47:21 : INFO : adding document #1670000 to Dictionary(5341217 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:47:44 : INFO : adding document #1680000 to Dictionary(5357253 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:48:07 : INFO : adding document #1690000 to Dictionary(5369927 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:48:31 : INFO : adding document #1700000 to Dictionary(5385553 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:48:54 : INFO : adding document #1710000 to Dictionary(5399831 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:49:16 : INFO : adding document #1720000 to Dictionary(5418702 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:49:40 : INFO : adding document #1730000 to Dictionary(5439901 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:50:03 : INFO : adding document #1740000 to Dictionary(5452344 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:50:27 : INFO : adding document #1750000 to Dictionary(5466645 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:50:55 : INFO : adding document #1760000 to Dictionary(5481274 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:51:17 : INFO : adding document #1770000 to Dictionary(5497212 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:51:40 : INFO : adding document #1780000 to Dictionary(5512262 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:52:06 : INFO : adding document #1790000 to Dictionary(5525440 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
19:52:31 : INFO : adding document #1800000 to Dictionary(5549582 unique tokens: [u'tripolitan', u'chryssikos', u'kriekse', u'billycorgan', u'tripolitai']...)
